No;City;Total;Died;Lost ;Injured;Suffering;Evacuate;House;School;Medical_Facility;Religious_Place;Public_Facility;Office;Bridge;Factory;Store;Year;Type;Disaster
75; Kota Pasuruan;1;;;;37747;;;;;;;;;;;2019;106;Drought
76; Kota Mojokerto;1;;;;6127;;;;;;;;;;;2019;106;Drought
1; Pacitan;1;;;;;;;;;;;;;;;2019;107;Forest Fire
2; Ponorogo;15;1;;;;;;;;;;;;;;2019;107;Forest Fire
3; Trenggalek;20;;;;;;;;;;;;;;;2019;107;Forest Fire
5; Blitar;1;;;;;;;;;;;;;;;2019;107;Forest Fire
6; Kediri;2;;;;;;;;;;;;;;;2019;107;Forest Fire
7; Malang;1;;;;;;;;;;;;;;;2019;107;Forest Fire
8; Lumajang;5;;;;;;;;;;;;;;;2019;107;Forest Fire
9; Jember;8;1;;;;;;;;;;;;;;2019;107;Forest Fire
10; Banyuwangi;8;;;;4;;;;;;;;;;;2019;107;Forest Fire
11; Bondowoso;2;;;;;;;;;;;;;;;2019;107;Forest Fire
12; Situbondo;33;;;;;;;;;;;;;;;2019;107;Forest Fire
13; Probolinggo;1;;;;;;;;;;;;;;;2019;107;Forest Fire
14; Pasuruan;3;;;;;;;;;;;;;;;2019;107;Forest Fire
15; Sidoarjo;6;;;;;;;;;;;;;;;2019;107;Forest Fire
16; Mojokerto;13;;;1;;;;;;;;;;;;2019;107;Forest Fire
17; Jombang;7;;;;;;;;;;;;;;;2019;107;Forest Fire
18; Nganjuk;22;;;;;;;;;;;;;;;2019;107;Forest Fire
19; Madiun;6;;;;;;;;;;;;;;;2019;107;Forest Fire
20; Magetan;7;;;;;;;;;;;;;;;2019;107;Forest Fire
21; Ngawi;4;;;;;;;;;;;;;;;2019;107;Forest Fire
22; Bojonegoro;2;;;;;;;;;;;;;;;2019;107;Forest Fire
23; Tuban;2;;;;;;;;;;;;;;;2019;107;Forest Fire
29; Sumenep;1;;;;;;;;;;;;;;;2019;107;Forest Fire
73; Kota Malang;1;;;;;;;;;;;;;;;2019;107;Forest Fire
78; Kota Surabaya;2;;;;;;;;;;;;;;;2019;107;Forest Fire
79; Kota Batu;8;;;;90;;;;;;;;;;;2019;107;Forest Fire
8; Lumajang;1;;;;;;9;;;;;;;;;2019;108;Earthquake
9; Jember;1;;;;;;1;1;1;;;2;;;;2019;108;Earthquake
10; Banyuwangi;1;;;4;;;3;;;3;;2;;;;2019;108;Earthquake
29; Sumenep;1;;;1;;;97;3;;1;;;;;;2019;108;Earthquake
2; Ponorogo;3;;;;39;;;;;;;;;;;2020;101;Flood
4; Tulungagung;1;;;;;;;;;;;;;;;2020;101;Flood
5; Blitar;3;;;;;;1;;;;;;7;;12;2020;101;Flood
6; Kediri;1;;;;;;;;;;;;;;;2020;101;Flood
7; Malang;6;;;8;535;;;1;;;;;1;;2;2020;101;Flood
8; Lumajang;2;;;1;4876;;;;;;;;;;;2020;101;Flood
9; Jember;7;;;2;2840;450;4;;;;;;2;;23;2020;101;Flood
10; Banyuwangi;5;;;;;;50;;;3;;;6;;;2020;101;Flood
11; Bondowoso;2;;;3;1000;856;320;;;8;;2;3;;;2020;101;Flood
12; Situbondo;3;;;;;;;;;;;;;;;2020;101;Flood
13; Probolinggo;3;;;;845;;;;;;;;;;;2020;101;Flood
14; Pasuruan;8;;;;160805;;;;;;;;;;;2020;101;Flood
15; Sidoarjo;8;;;;9033;;;10;;10;;;;;;2020;101;Flood
16; Mojokerto;14;;;;2231;;;;;3;;;;;12;2020;101;Flood
17; Jombang;8;;;;2054;;;;;;;;;;;2020;101;Flood
18; Nganjuk;4;;;;10;;;;;1;;;;;;2020;101;Flood
19; Madiun;4;;;;11785;22;;;;;;;;;;2020;101;Flood
21; Ngawi;1;;;;;;;;;;;;;;;2020;101;Flood
22; Bojonegoro;13;;;;7785;;;;;6;;;1;;;2020;101;Flood
23; Tuban;6;;;;3735;;;;;;;;;;;2020;101;Flood
24; Lamongan;4;;;;13925;;4;;;;;;2;;;2020;101;Flood
25; Gresik;13;3;;;39800;;;;;4;;;;;1;2020;101;Flood
26; Bangkalan;6;;1;;33030;;;;;1;;;;;;2020;101;Flood
27; Sampang;3;2;;;1025;10;;;;;;;;;;2020;101;Flood
28; Pamekasan;1;1;;;;;;;;;;;;;;2020;101;Flood
29; Sumenep;1;;;;450;;;;;;;;;;;2020;101;Flood
73; Kota Malang;3;;;;750;;2;;;;;;;;;2020;101;Flood
74; Kota Probolinggo;1;;;;;;;;;;;;;;;2020;101;Flood
75; Kota Pasuruan;1;;;;;;;;;;;;;;;2020;101;Flood
77; Kota Madiun;1;;;;;;;;;1;;;;;;2020;101;Flood
1; Pacitan;2;;;;;;29;;;;;;1;;;2020;102;Land_Slide
2; Ponorogo;3;1;;;134;124;3;;;;;;;;1;2020;102;Land_Slide
3; Trenggalek;4;;;;22;;17;;;;;;;;;2020;102;Land_Slide
7; Malang;1;;;;;;1;;;;;;;;;2020;102;Land_Slide
8; Lumajang;2;;;;210;;58;;;;;;;;;2020;102;Land_Slide
9; Jember;2;;;;;;;;;;;;;;9;2020;102;Land_Slide
24; Lamongan;1;;;;;;;;;;;;;;;2020;102;Land_Slide
72; Kota Blitar;2;;;;2;;2;;;;;;;;;2020;102;Land_Slide
73; Kota Malang;1;;;;;;;;;;;;;;;2020;102;Land_Slide
79; Kota Batu;1;;;;;;2;;;;;;;;;2020;102;Land_Slide
1; Pacitan;2;;;;312;85;;;;;;;1;;;2020;103;Flood and Land Slide
11; Bondowoso;1;1;;1;;;;;;;;;;;;2020;103;Flood and Land Slide
14; Pasuruan;1;;;;2945;;;;;;;;;;;2020;103;Flood and Land Slide
4; Tulungagung;3;1;;;;;38;;;;;;;;;2020;105;Tornado
5; Blitar;3;;;;;;84;;;;;1;;;3;2020;105;Tornado
6; Kediri;1;;;;195;;39;3;1;;;2;;;;2020;105;Tornado
7; Malang;9;1;;;300;62;360;;;2;;;;;3;2020;105;Tornado
9; Jember;5;;;2;30;;67;;;4;;;;;2;2020;105;Tornado
10; Banyuwangi;1;;;;;;2;;;;;;;;;2020;105;Tornado
11; Bondowoso;4;;;;575;;198;;;;;;;;;2020;105;Tornado
12; Situbondo;3;;;1;25;;13;;;;;;;;1;2020;105;Tornado
13; Probolinggo;2;;;;;;212;;;1;;;;;;2020;105;Tornado
14; Pasuruan;3;;;;;;45;;;;;;;;;2020;105;Tornado
15; Sidoarjo;6;;;3;;;126;1;;3;;1;;;;2020;105;Tornado
16; Mojokerto;5;1;;1;;;71;;;;;;;;;2020;105;Tornado
17; Jombang;4;;;;85;;133;;;2;;;;;2;2020;105;Tornado
18; Nganjuk;2;;;4;;;11;;;;;;;;;2020;105;Tornado
19; Madiun;2;;;;;;19;;;1;;;;;;2020;105;Tornado
21; Ngawi;2;;;;120;;34;;;;;;;;;2020;105;Tornado
22; Bojonegoro;3;;;;15;;21;;;;;;;;2;2020;105;Tornado
23; Tuban;4;;;3;210;;68;;;;;;;;;2020;105;Tornado
24; Lamongan;2;;;;;;9;1;;;;;;;1;2020;105;Tornado
25; Gresik;1;;;;;;20;;;;;;;;;2020;105;Tornado
26; Bangkalan;2;;;;;;68;;;;;;;;;2020;105;Tornado
27; Sampang;1;;;1;;;;;;;;;;;;2020;105;Tornado
28; Pamekasan;7;;;;;;73;;;;;;;;;2020;105;Tornado
29; Sumenep;4;;;;80;;56;;;1;;;;;;2020;105;Tornado
73; Kota Malang;2;;;;;;11;;;;;;;;4;2020;105;Tornado
78; Kota Surabaya;1;2;;;;;;;;;;;;;;2020;105;Tornado
2; Ponorogo;1;;;;;;;;;;;;;;;2020;106;Drought
12; Situbondo;1;;;;;;;;;;;;;;;2020;106;Drought
6; Kediri;1;;;;;;;;;;;;;;;2020;107;Forest Fire
11; Bondowoso;1;;;;;;;;;;;;;;;2020;107;Forest Fire
12; Situbondo;4;;;;;;;;;;;;;;;2020;107;Forest Fire
13; Probolinggo;2;;;;;;;;;;;;;;;2020;107;Forest Fire
16; Mojokerto;1;;;;;;;;;;;;;;;2020;107;Forest Fire
19; Madiun;1;;;;;;;;;;;;;;;2020;107;Forest Fire
22; Bojonegoro;2;;;;;;;;;;;;;;;2020;107;Forest Fire
23; Tuban;1;;;;;;;;;;;;;;;2020;107;Forest Fire
8; Lumajang;1;;1;;6490;335;;;;;;;;;;2020;111;Volcano Eruption
2; Ponorogo;3;;;;138;;1;;;;;;;;;2021;101;Flood
5; Blitar;1;;;;3500;;;;;;;;;;;2021;101;Flood
6; Kediri;1;;;;;;;;;;;;;;;2021;101;Flood
7; Malang;2;;;;;;;;;;;;;;;2021;101;Flood
8; Lumajang;2;;;;10754;80;;;;;;;;;;2021;101;Flood
9; Jember;5;;;;25129;1388;28;;;;;;1;;;2021;101;Flood
10; Banyuwangi;5;;;;1597;;12;;;;;;;;;2021;101;Flood
12; Situbondo;7;0;0;0;740;0;25;0;0;0;0;0;0;0;0;2021;101;Flood
13; Probolinggo;2;;;;12819;72;6;;;;;;;;;2021;101;Flood
14; Pasuruan;8;2;1;;53076;487;8;;;;;;;;;2021;101;Flood
15; Sidoarjo;5;;;;12251;;;;;;;;;;;2021;101;Flood
16; Mojokerto;3;;;;1177;;;;;;;;;;;2021;101;Flood
17; Jombang;9;;;;16170;550;38;;;;;;2;;;2021;101;Flood
18; Nganjuk;6;;;;4830;52;;;;;;;;;;2021;101;Flood
19; Madiun;4;;;;2985;415;1;;;;;;;;;2021;101;Flood
20; Magetan;2;;;;1270;;;;;;;;;;;2021;101;Flood
21; Ngawi;3;;;;115;;;;;;;;;;;2021;101;Flood
22; Bojonegoro;8;;;;5731;55;;;;;;;;;;2021;101;Flood
23; Tuban;5;0;0;0;5185;0;0;0;0;0;0;0;0;0;0;2021;101;Flood
24; Lamongan;3;;;;89449;;;;;;;;;;;2021;101;Flood
25; Gresik;19;0;0;0;8670;409;12;0;0;0;0;0;0;0;0;2021;101;Flood
26; Bangkalan;1;;;;725;;;;;;;;;;;2021;101;Flood
27; Sampang;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;101;Flood
28; Pamekasan;4;0;0;0;10812;0;0;0;0;0;0;0;0;0;0;2021;101;Flood
29; Sumenep;1;;;;;;;;;;;;;;;2021;101;Flood
73; Kota Malang;1;;1;;;10;;;;;;;;;;2021;101;Flood
74; Kota Probolinggo;2;;;;733;;;;;;;;;;;2021;101;Flood
75; Kota Pasuruan;2;;;;14666;34;;;;;;;;;;2021;101;Flood
79; Kota Batu;1;;;;20;;;;;;;;;;;2021;101;Flood
3; Trenggalek;3;;;;30;;2;;;;;;;;;2021;102;Land_Slide
4; Tulungagung;1;;;1;610;5;25;;;;;;1;;;2021;102;Land_Slide
7; Malang;3;1;;;53;;15;;;;;;;;;2021;102;Land_Slide
9; Jember;2;;;;10;;2;;;;;;;;;2021;102;Land_Slide
10; Banyuwangi;1;1;;5;;;2;;;;;;;;;2021;102;Land_Slide
12; Situbondo;3;0;0;0;164;0;2;0;0;0;0;0;0;0;0;2021;102;Land_Slide
13; Probolinggo;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;102;Land_Slide
18; Nganjuk;2;19;;20;186;156;9;;;;;;;;;2021;102;Land_Slide
19; Madiun;1;;;;;10;2;;;;;;;;;2021;102;Land_Slide
20; Magetan;2;;;;10;;2;;;;;;;;;2021;102;Land_Slide
22; Bojonegoro;1;;;;10;;;;;;;;;;;2021;102;Land_Slide
23; Tuban;1;;;;5;;1;;;;;;;;;2021;102;Land_Slide
25; Gresik;3;0;0;0;0;0;2;0;0;0;0;0;0;0;1;2021;102;Land_Slide
27; Sampang;2;5;0;1;1;0;0;1;0;0;7;0;0;0;0;2021;102;Land_Slide
28; Pamekasan;6;5;0;1;54;145;2;1;0;1;0;0;0;0;0;2021;102;Land_Slide
73; Kota Malang;3;;;2;;1;3;;;;;;;;;2021;102;Land_Slide
79; Kota Batu;8;;;;247;171;7;;;;;;;;;2021;102;Land_Slide
19; Madiun;1;;;;85;;15;;;;;;;;;2021;103;Flood and Land Slide
20; Magetan;1;;;;;;;;;;;;;;;2021;103;Flood and Land Slide
22; Bojonegoro;1;;;;1930;;9;;;;;;;;;2021;103;Flood and Land Slide
79; Kota Batu;1;;;;53;11;;;;;;;;;;2021;103;Flood and Land Slide
12; Situbondo;1;;;;7;;3;;;;;;;;;2021;104;Abration
23; Tuban;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;104;Abration
3; Trenggalek;2;;;;;;6;;;;;;;;;2021;105;Tornado
4; Tulungagung;1;;;;330;;66;;;;;;;;;2021;105;Tornado
5; Blitar;3;;;5;12;;48;;;;;;;;1;2021;105;Tornado
6; Kediri;1;;;;;;21;;;;;;;;;2021;105;Tornado
7; Malang;2;;;;110;;32;;;1;;;;;;2021;105;Tornado
8; Lumajang;1;;;;390;;78;;;;;;;;;2021;105;Tornado
9; Jember;2;;;1;45;;9;;;;;;;;;2021;105;Tornado
10; Banyuwangi;3;;;1;275;;55;1;;2;;;;;;2021;105;Tornado
11; Bondowoso;2;;;;92;;60;;;;;;;;;2021;105;Tornado
12; Situbondo;4;0;0;0;112;0;208;0;0;0;0;0;0;0;1;2021;105;Tornado
13; Probolinggo;4;0;0;0;59;0;14;0;0;0;0;0;0;0;0;2021;105;Tornado
14; Pasuruan;1;;;;;;35;1;;3;;;;;;2021;105;Tornado
15; Sidoarjo;6;;;;115;;33;;1;;;;;;7;2021;105;Tornado
16; Mojokerto;3;;;;198;;53;;;1;;;;;;2021;105;Tornado
17; Jombang;2;;;;;;3;;;;;1;;;;2021;105;Tornado
18; Nganjuk;1;;;6;;;1;;;;;;;;;2021;105;Tornado
20; Magetan;1;;;;30;;6;;;;;;;;;2021;105;Tornado
21; Ngawi;1;;;;;;2;;;;;;;;;2021;105;Tornado
22; Bojonegoro;2;;;;365;;73;;;1;;;;;;2021;105;Tornado
23; Tuban;2;;;;5;;12;1;;;;;;;;2021;105;Tornado
25; Gresik;7;0;0;0;0;0;27;2;0;1;1;0;0;0;2;2021;105;Tornado
27; Sampang;20;0;0;0;0;0;35;2;0;1;12;0;0;0;0;2021;105;Tornado
28; Pamekasan;12;0;0;1;0;0;487;2;0;3;0;0;0;0;0;2021;105;Tornado
29; Sumenep;2;;;3;100;;55;;;;;;;;;2021;105;Tornado
73; Kota Malang;2;;;2;;;20;;;;;;;;;2021;105;Tornado
28; Pamekasan;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;106;Drought
12; Situbondo;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;107;Forest Fire
13; Probolinggo;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;107;Forest Fire
28; Pamekasan;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;107;Forest Fire
1; Pacitan;1;;;;;;1;;;;;;;;;2021;108;Earthquake
2; Ponorogo;1;;;;;;2;;;;;;;;;2021;108;Earthquake
3; Trenggalek;1;;;;;;149;3;;5;;10;;;;2021;108;Earthquake
4; Tulungagung;1;;;2;;;75;1;;4;;3;;;1;2021;108;Earthquake
5; Blitar;2;;;12;;;2021;29;4;52;;47;;;;2021;108;Earthquake
6; Kediri;2;;;;;;4;;;;;;;;;2021;108;Earthquake
7; Malang;2;4;;81;;961;11976;128;21;128;;;;;;2021;108;Earthquake
8; Lumajang;2;6;;16;;1093;3446;21;;55;;;;;;2021;108;Earthquake
9; Jember;2;;;2;;;56;;2;2;;;;;;2021;108;Earthquake
10; Banyuwangi;1;;;;;;;;;;;;;;;2021;108;Earthquake
11; Bondowoso;1;;;;;;2;;;;;;;;;2021;108;Earthquake
13; Probolinggo;1;;;;;;10;;;2;;;;;1;2021;108;Earthquake
14; Pasuruan;2;;;;;;127;1;;3;;;;;1;2021;108;Earthquake
18; Nganjuk;1;;;;;;1;;;;;;;;;2021;108;Earthquake
71; Kota Kediri;1;;;;;;1;3;;;;;;;;2021;108;Earthquake
72; Kota Blitar;2;;;2;;20;55;7;3;4;;2;;;;2021;108;Earthquake
73; Kota Malang;2;;;2;;;8;;;;;1;;;;2021;108;Earthquake
79; Kota Batu;1;;;;;;2;4;;;;1;;;1;2021;108;Earthquake
8; Lumajang;1;34;0;169;5205;4350;0;0;0;0;0;0;1;0;0;2021;111;Volcano Eruption
12; Situbondo;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;101;Flood
23; Tuban;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;101;Flood
25; Gresik;18;0;0;1;0;806;0;0;0;0;0;0;0;0;0;2022;101;Flood
27; Sampang;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;101;Flood
28; Pamekasan;6;0;0;4;23890;474;6;3;0;0;0;0;4;0;0;2022;101;Flood
5; Blitar;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;2022;102;Land_Slide
12; Situbondo;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;102;Land_Slide
25; Gresik;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;102;Land_Slide
27; Sampang;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2022;102;Land_Slide
28; Pamekasan;13;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2022;102;Land_Slide
71; Kota Kediri;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;102;Land_Slide
23; Tuban;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;104;Abration
5; Blitar;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;105;Tornado
12; Situbondo;9;0;0;0;0;0;5;0;0;0;0;0;0;0;0;2022;105;Tornado
25; Gresik;11;0;0;4;0;0;152;1;0;1;1;0;0;1;13;2022;105;Tornado
27; Sampang;6;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2022;105;Tornado
28; Pamekasan;24;0;0;0;0;0;20;0;0;1;0;2;0;0;0;2022;105;Tornado
12; Situbondo;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;106;Drought
12; Situbondo;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;107;Forest Fire
28; Pamekasan;3;0;0;0;0;0;2;0;0;0;0;0;0;1;0;2022;107;Forest Fire
23; Tuban;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;108;Earthquake
2; Lebak;3;;;;563;;121;4;;3;;;7;;;2019;101;Flood
4; Serang;3;;;;2232;266;149;1;;;;;;;;2019;101;Flood
71; Kota Tangerang;1;;;;688;;;;;;;;;;;2019;101;Flood
72; Kota Cilegon;2;;;;3785;;1;;;;;;;;;2019;101;Flood
2; Lebak;1;;;;499;;63;;;3;;;;;;2019;102;Land_Slide
71; Kota Tangerang;1;1;;1;;;;;;;;;;;;2019;102;Land_Slide
1; Pandeglang;2;;;;116;;39;;;;;;;;;2019;105;Tornado
2; Lebak;1;;;;;;49;;;;;;;;;2019;105;Tornado
3; Tangerang;3;;;6;200;;297;;;3;;;;;;2019;105;Tornado
4; Serang;15;;;1;19;6;38;1;;;;;;;;2019;105;Tornado
73; Kota Serang;1;;;;;;;;1;1;;;;;;2019;105;Tornado
2; Lebak;2;;;;3500;;;;;;;;;;;2019;106;Drought
4; Serang;2;;;;11930;;;;;;;;;;;2019;106;Drought
4; Serang;27;;;;;;;;;;;;;;;2019;107;Forest Fire
1; Pandeglang;1;2;;2;;;608;18;;16;;2;3;;;2019;108;Earthquake
2; Lebak;1;3;;;176;;63;3;;2;;;;;;2019;108;Earthquake
4; Serang;1;;;;;;27;1;;;;;;;;2019;108;Earthquake
72; Kota Cilegon;1;;;;;;3;;;1;;;;;;2019;108;Earthquake
1; Pandeglang;4;;;;31132;1281;;;;;;;;;;2020;101;Flood
2; Lebak;4;;;;2615;;1;;;;;;;;;2020;101;Flood
3; Tangerang;3;;;;22705;;;;;;;;;;;2020;101;Flood
4; Serang;26;;;1;64461;15144;16;4;2;2;;2;2;;;2020;101;Flood
71; Kota Tangerang;3;8;;;49746;3593;5045;;;;;;;;;2020;101;Flood
72; Kota Cilegon;2;;;;3582;2500;3;;;;;;;;;2020;101;Flood
73; Kota Serang;2;;;;770;;;;;;;;;;;2020;101;Flood
74; Kota Tangerang Selatan;3;4;;;75727;2125;;;;;;;;;;2020;101;Flood
1; Pandeglang;1;;;;;;1;;;;;;1;;;2020;102;Land_Slide
2; Lebak;6;;;;85;;31;1;;1;;;;;;2020;102;Land_Slide
4; Serang;5;;;;35;;8;;;;;;;;;2020;102;Land_Slide
72; Kota Cilegon;1;;;;12;;3;;;;;;;;;2020;102;Land_Slide
73; Kota Serang;1;;;;5;;1;;;;;;;;;2020;102;Land_Slide
2; Lebak;3;13;4;67;38795;16163;2486;7;;8;;40;3;;;2020;103;Flood and Land Slide
1; Pandeglang;4;;;1;593;;102;1;;4;;;;;;2020;105;Tornado
2; Lebak;1;;;;;;6;;;;;;;;;2020;105;Tornado
3; Tangerang;1;;;;;;6;;;;;;;;;2020;105;Tornado
4; Serang;30;;;2;150;15;47;3;;;;;;;4;2020;105;Tornado
72; Kota Cilegon;1;;;;;;22;;;;;;;;1;2020;105;Tornado
73; Kota Serang;1;;;;;;1;;;;;;;;;2020;105;Tornado
4; Serang;2;;;;;;;;;;;;;;;2020;107;Forest Fire
1; Pandeglang;1;;;;3777;;;;;;;;;;;2021;101;Flood
2; Lebak;1;1;;;;;;;;;;;;;;2021;101;Flood
3; Tangerang;1;;;;25185;119;;;;;;;;;;2021;101;Flood
4; Serang;20;;;11;10327;20;;;;;;;;;;2021;101;Flood
71; Kota Tangerang;1;;;;12351;6977;;;;;;;;;;2021;101;Flood
73; Kota Serang;2;;;;779;;;;;;;;;;;2021;101;Flood
74; Kota Tangerang Selatan;2;;;1;7670;59;;;;;;;;;;2021;101;Flood
3; Tangerang;1;;;;500;;;;;;;;;;;2021;102;Land_Slide
4; Serang;2;;;;4;;2;;;;;;;;;2021;102;Land_Slide
74; Kota Tangerang Selatan;1;;;;12;;3;;;;;;;;;2021;102;Land_Slide
74; Kota Tangerang Selatan;2;;;2;26548;130;3;;;;;;;;;2021;103;Flood and Land Slide
1; Pandeglang;1;;;;200;;24;;;;;;;;;2021;105;Tornado
3; Tangerang;2;;;1;95;;59;;;;;;;;;2021;105;Tornado
4; Serang;11;;;1;418;;87;1;;;;;;;;2021;105;Tornado
72; Kota Cilegon;1;;;;90;;18;;;;;;;;;2021;105;Tornado
73; Kota Serang;2;;;;17;;3;;;;;;;;;2021;105;Tornado
4; Serang;3;;;;;;;;;;;;;;;2021;107;Forest Fire
1; Jembrana;2;;;;;6;;;;;;;;;;2019;101;Flood
3; Badung;1;;;;;;;;;;;;;;;2019;101;Flood
7; Karang Asem;2;;;;;;2;;;;;;1;;;2019;101;Flood
3; Badung;2;;;;;;1;1;;;;;;;;2019;102;Land_Slide
6; Bangli;1;;;;;;1;;;;;;;;;2019;102;Land_Slide
7; Karang Asem;4;3;;12;;;2;;;5;;;1;;;2019;102;Land_Slide
8; Buleleng;2;4;;;;;4;;;;;;;;;2019;102;Land_Slide
7; Karang Asem;1;;;4;;;1;;;1;;;;;;2019;104;Abration
1; Jembrana;3;;;;;;15;;;;;1;;;;2019;105;Tornado
3; Badung;7;;;;;;30;1;;11;;;;;;2019;105;Tornado
4; Gianyar;2;;;;;;2;;;;;1;;;;2019;105;Tornado
5; Klungkung;2;;;;;;17;;;2;;;;;;2019;105;Tornado
6; Bangli;1;;;1;;;;;;;;;;;;2019;105;Tornado
7; Karang Asem;3;;;;;;9;;;;;;;;;2019;105;Tornado
8; Buleleng;2;;;;;;6;;;;;;;;;2019;105;Tornado
1; Jembrana;1;;;;;;;;;;;;;;;2019;106;Drought
7; Karang Asem;1;;;;400;;;;;;;;;;;2019;106;Drought
8; Buleleng;1;;;;52932;;;;;;;;;;;2019;106;Drought
1; Jembrana;1;;;;;;;;;;;;;;;2019;107;Forest Fire
2; Tabanan;1;;;;;;;;;;;;;;;2019;107;Forest Fire
3; Badung;1;;;;;;;;;;;;;;;2019;107;Forest Fire
7; Karang Asem;10;;;;;;;;;;;;;;;2019;107;Forest Fire
8; Buleleng;1;;;;;;;;;;;;;;;2019;107;Forest Fire
1; Jembrana;1;;;2;;;2;2;;;;;;;;2019;108;Earthquake
3; Badung;1;;;3;;;;11;;;;3;;;;2019;108;Earthquake
4; Gianyar;1;;;;;;2;;;;;4;;;;2019;108;Earthquake
8; Buleleng;1;;;;;;2;;;;;;;;;2019;108;Earthquake
71; Kota Denpasar;1;;;;;;;;;1;;;;;;2019;108;Earthquake
7; Karang Asem;3;;;;423;20;;;;;;;;;;2019;111;Volcano Eruption
3; Badung;2;;;;;;2;;;;;;;;;2020;101;Flood
6; Bangli;1;;;;;20;;1;;;;;;;;2020;101;Flood
7; Karang Asem;1;;;;;;1;;;;;;;;;2020;101;Flood
1; Jembrana;7;;;;;;8;;;;;;;;;2020;102;Land_Slide
2; Tabanan;2;;;;40;;7;;;;;;;;;2020;102;Land_Slide
3; Badung;8;;;;;;8;;;2;;;;;;2020;102;Land_Slide
4; Gianyar;2;2;;2;;;1;;;;;;;;;2020;102;Land_Slide
5; Klungkung;1;;;;;;1;;;;;;;;;2020;102;Land_Slide
6; Bangli;1;;;;;;1;;;;;;;;;2020;102;Land_Slide
7; Karang Asem;8;1;;1;;;20;;;;;;;;;2020;102;Land_Slide
8; Buleleng;4;;;;;;5;;;;;;;;;2020;102;Land_Slide
1; Jembrana;1;;;;;;9;;;;;;;;;2020;104;Abration
1; Jembrana;5;;;;;;33;;;;;;;;;2020;105;Tornado
2; Tabanan;6;;;;;;8;;;1;;;;;;2020;105;Tornado
3; Badung;5;;;1;15;;2;;;1;;1;;;;2020;105;Tornado
4; Gianyar;15;;;1;;;35;;;;;;;;;2020;105;Tornado
5; Klungkung;1;;;;;;2;;;;;;;;;2020;105;Tornado
6; Bangli;4;;;;;;4;;;4;;;;;1;2020;105;Tornado
7; Karang Asem;16;;;3;120;;18;;1;7;;;;;;2020;105;Tornado
8; Buleleng;4;;;;10;;17;;;;;;;;;2020;105;Tornado
71; Kota Denpasar;1;;;2;;;;;;;;;;;;2020;105;Tornado
1; Jembrana;1;;;;;;3;;;;;;;;;2021;101;Flood
3; Badung;1;;;;;;;;;;;;;;;2021;101;Flood
7; Karang Asem;3;;;;15;;4;;;;;;;;;2021;101;Flood
7; Karang Asem;4;;;;4;;1;;;;;;;;;2021;102;Land_Slide
1; Jembrana;1;;;;115;;16;;;;;;;;;2021;104;Abration
7; Karang Asem;1;;;;15;;3;;;;;;;;;2021;104;Abration
3; Badung;2;;;;;;2;;;;;;;;8;2021;105;Tornado
1; Lombok Barat;1;;;;;75;;;;;;;;;;2019;101;Flood
2; Lombok Tengah;2;;;;248;;;;;;;;;;;2019;101;Flood
4; Sumbawa;2;;;;145;;;;;;;;;;;2019;101;Flood
5; Dompu;2;;;;3105;3140;3;;;;;;;;;2019;101;Flood
6; Bima;4;;;;1550;;265;4;;;;3;1;;;2019;101;Flood
7; Sumbawa Barat;4;;;;825;;;;;;;;1;;;2019;101;Flood
8; Lombok Utara;1;;;;158;;;;;;;;;;;2019;101;Flood
72; Kota Bima;3;;;;5820;;;;;;;;;;;2019;101;Flood
1; Lombok Barat;1;;;;262;;;;;;;;;;;2019;105;Tornado
2; Lombok Tengah;3;;;2;;;60;;;;;;;;;2019;105;Tornado
3; Lombok Timur;2;;;;;16;16;1;;1;;;;;;2019;105;Tornado
4; Sumbawa;3;;;1;230;;64;4;;1;;;;;;2019;105;Tornado
5; Dompu;1;;;3;1100;;220;;;;;;;;;2019;105;Tornado
6; Bima;1;;;;;;10;;;;;;;;;2019;105;Tornado
7; Sumbawa Barat;5;;;;;;87;1;;;;;;;;2019;105;Tornado
8; Lombok Utara;2;;;;;;8;2;;;;;;;;2019;105;Tornado
